date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/1/2015,Quarter1,sweing,Thursday,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725
3/1/2015,Quarter1,finishing,Sunday,2,0.7,3.90,NaN,960,0,0.0,0,0,8.0,0.585000
1/1/2015,Quarter1,finishing,Thursday,1,0.75,3.94,NaN,960,0,0.0,0,0,8.0,0.886500
3/1/2015,Quarter1,sweing,Sunday,7,0.80,30.10,934.0,6960,0,3.5,15,0,58.0,0.579511
1/1/2015,Quarter1,sweing,Thursday,11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570
3/1/2015,Quarter1,finishing,Sunday,1,0.6,3.94,NaN,3360,0,0.0,0,0,8.0,0.448722
1/1/2015,Quarter1,sweing,Thursday,12,0.80,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570
3/1/2015,Quarter1,finishing,Sunday,9,0.75,2.90,NaN,960,0,0.0,0,0,8.0,0.447083
1/1/2015,Quarter1,sweing,Thursday,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.800382
3/1/2015,Quarter1,finishing,Sunday,7,0.8,4.6,NaN,3360,0,0.0,0,0,8.0,0.350417
1/1/2015,Quarter1,sweing,Thursday,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125
3/2/2015,Quarter1,finishing,Monday,2,0.7,3.9,NaN,1200,0,0.0,0,0,10.0,0.928850
1/1/2015,Quarter1,finishing,Thursday,2,0.75,3.94,NaN,960,0,0.0,0,0,8.0,0.755167
3/2/2015,Quarter1,finishing,Monday,3,0.80,4.60,NaN,10080,0,0.0,0,0,24.0,0.860370
1/1/2015,Quarter1,sweing,Thursday,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683
3/2/2015,Quarter1,finishing,Monday,4,0.65,3.94,NaN,960,0,0.0,0,0,8.0,0.806879
1/1/2015,Quarter1,sweing,Thursday,2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,0.753098
3/2/2015,Quarter1,sweing,Monday,1,0.65,26.66,1527.0,6840,65,0.0,0,0,57.0,0.800580
1/1/2015,Quarter1,sweing,Thursday,1,0.75,28.08,681.0,6900,45,0.0,0,0,57.5,0.750428
3/2/2015,Quarter1,sweing,Monday,12,0.80,15.26,1035.0,4080,63,0.0,0,0,34.0,0.800402
1/1/2015,Quarter1,sweing,Thursday,9,0.70,28.08,872.0,6900,44,0.0,0,0,57.5,0.721127
3/2/2015,Quarter1,finishing,Monday,9,0.75,2.90,NaN,1200,0,0.0,0,0,10.0,0.800400
1/1/2015,Quarter1,sweing,Thursday,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205
3/2/2015,Quarter1,sweing,Monday,11,0.80,11.61,632.0,0,50,0.0,0,0,57.0,0.800309
1/1/2015,Quarter1,sweing,Thursday,5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,0.707046
3/2/2015,Quarter1,sweing,Monday,3,0.8,29.40,1231.0,4680,50,0.0,0,0,57.0,0.800150
1/1/2015,Quarter1,finishing,Thursday,10,0.65,3.94,NaN,960,0,0.0,0,0,8.0,0.705917
3/2/2015,Quarter1,sweing,Monday,7,0.80,30.10,616.0,7080,0,0.0,0,0,59.0,0.800116
1/1/2015,Quarter1,finishing,Thursday,8,0.75,2.9,NaN,960,0,0.0,0,0,8.0,0.676667
3/2/2015,Quarter1,finishing,Monday,8,0.75,4.6,NaN,3360,0,0.0,0,0,8.0,0.773333
1/1/2015,Quarter1,finishing,Thursday,4,0.75,3.94,NaN,2160,0,0.0,0,0,18.0,0.593056
3/2/2015,Quarter1,sweing,Monday,6,0.75,18.79,947.0,2880,34,0.0,0,0,33.0,0.750797
1/1/2015,Quarter1,finishing,Thursday,7,0.80,2.9,NaN,960,0,0.0,0,0,8.0,0.540729
3/2/2015,Quarter1,sweing,Monday,8,0.75,29.4,551.0,6840,45,0.0,0,0,57.0,0.750474
1/1/2015,Quarter1,sweing,Thursday,4,0.65,23.69,861.0,7200,0,0.0,0,0,60.0,0.521180
3/2/2015,Quarter1,sweing,Monday,9,0.75,18.79,935.0,6240,45,0.0,0,0,52.0,0.750396
1/1/2015,Quarter1,finishing,Thursday,11,0.70,4.15,NaN,1440,0,0.0,0,0,12.0,0.436326
